職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
數位IC設計工程師 竹北,全職,8 / 8,50,經常,5 年,"2,500,000 / 年",1021 元,2019.12
軟體工程師 ,全職,8 / 10,45,偶爾,6 年,"2,000,000 / 年",930 元,2019.06
軟體工程師 ,全職,8 / 10,50,經常,2 年,"1,560,000 / 年",647 元,2019.08
暑期實習生 總部,實習,8 / 8,40,幾乎不,-,"25,000 / 月",156 元,2019.08
軟韌體測試工程師 新竹,全職,8 / 10,46,偶爾,-,"76,000 / 月",414 元,2019.07
軟體設計工程師 竹北,全職,8 / 10,42,偶爾,3 年,"82,000 / 月",493 元,2019.06
軟體工程師 新竹,全職,8 / 10,50,偶爾,-,"82,000 / 月",408 元,2019.05
設計驗證 ,全職,8 / 9,46,經常,-,"80,000 / 月",432 元,2016.07
E8  ,全職,8 / 12,50,經常,8 年,"105,000 / 月",531 元,2019.03
數位IC設計工程師 新竹,全職,8 / 10,55,經常,2 年,"80,000 / 月",360 元,2019.03
數位IC設計工程師 新竹,全職,8 / 8,40,幾乎不,2 年,"80,000 / 月",498 元,2019.02
數位IC設計工程師 新竹,全職,8 / 8,40,幾乎不,2 年,"80,000 / 月",498 元,2019.02
資深工程師 新竹,全職,8 / 10,50,經常,7 年,"121,000 / 月",602 元,2019.02
類比工程師 ,全職,8 / 10,50,經常,-,"76,000 / 月",378 元,2019.02
暑期實習生 新竹總部,實習,8 / 8,40,幾乎不,-,"30,000 / 月",187 元,2016.08
軟體工程師 ,全職,8 / 9,45,經常,8 年,"2,100,000 / 年",968 元,2018.10
數位IC設計工程師 總部,全職,8 / 8,40,偶爾,4 年,"1,600,000 / 年",830 元,2018.08
資深工程師 ,全職,8 / 12,65,幾乎每天,4 年,"86,000 / 月",327 元,2018.08
通訊軟體工程師 ,全職,8 / 9,45,偶爾,5 年,"2,000,000 / 年",922 元,2018.08
工程師 新竹總部,全職,8 / 10,50,偶爾,2 年,"1,300,000 / 年",539 元,2018.08
軟體設計工程師 ,全職,8 / 9,45,偶爾,14 年,"3,300,000 / 年",1521 元,2018.08
通訊軟體工程師 ,全職,8 / 10,45,偶爾,2 年,"1,478,000 / 年",687 元,2018.08
RD 新竹,全職,8 / 12,60,經常,-,"79,000 / 月",328 元,2018.01
數位IC設計工程師 新竹科學園區,全職,8 / 9,45,偶爾,3 年,"1,400,000 / 年",645 元,2018.06
QA助理工程師 新竹廠,約聘雇,8 / 8,40,幾乎不,1 年,"448,000 / 年",232 元,2018.06
硬體研發工程師 竹北辦公室,全職,8 / 9,45,偶爾,3 年,"1,550,000 / 年",715 元,2018.06
